title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Chào Bạn,osm-node-10756018605,21.0679405,105.8224048,Nhà hàng,Đường Tô Ngọc Vân,0.0,0.0,0.0,0.0,0.0
Vua Phở,osm-node-10848035601,21.0485161,105.8078637,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Quán Vịt Zozo,osm-node-10848090099,21.0482947,105.808876,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Cháo Niêu,osm-node-10848092608,21.0482401,105.8092974,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Lòng Bờm - Lòng lợn Thuỵ Khuê,osm-node-10856105369,21.0481604,105.8097431,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Chung Trường - Lòng lợn chợ Bưởi,osm-node-10856105373,21.0479914,105.8101233,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Phở bò Đức Khôi,osm-node-10860208391,21.0364989,105.8462128,Nhà hàng,"77, Phố Phùng Hưng, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Phở bò Hồ Lợi,osm-node-10860234700,21.0875693,105.8061257,Nhà hàng,"28 Ng. 209, An Dương Vương, Tây Hồ, Hanoi",0.0,0.0,0.0,0.0,0.0
Cháo sườn sụn,osm-node-10872881535,21.0473666,105.8110341,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Bánh Tráng Phú Cường cơ sở 5,osm-node-11015659150,21.0092132,105.8489241,Nhà hàng,"340, Phố Bà Triệu, Hai Bà Trưng, Hà Nội",0.0,0.0,0.0,0.0,0.0
Chả cá 84,osm-node-11083594406,21.0207793,105.8459944,Nhà hàng,"84, Phố Trần Quốc Toản",0.0,0.0,0.0,0.0,0.0
Ngan chặt Gia Huy,osm-node-11168751430,21.0459733,105.8035235,Nhà hàng,"75, Đường Hoàng Quốc Việt, Quận Cầu Giấy, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bánh tráng Bé My,osm-node-11212195531,21.0101638,105.8358316,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Cơm tấm sườn nướng,osm-node-11212248141,21.0479495,105.784293,Nhà hàng,,0.0,0.25,0.0,0.0,0.0
Cơm niêu Tố Uyên,osm-node-11212544453,21.0081435,105.8333252,Nhà hàng,"101C2, Phố Phạm Ngọc Thạch, Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bún cá hạnh phúc,osm-node-11215223962,21.0470658,105.7842888,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Phở,osm-node-11215223970,21.0470096,105.7842885,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Bún cá Việt Nam,osm-node-11215223971,21.0472369,105.7842896,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Phở Vũ,osm-node-11215223972,21.0472914,105.7842898,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Minh Anh Bia - Bún chả,osm-node-11215223976,21.0475194,105.7842225,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Chảnh Nướng,osm-node-11215223983,21.0477247,105.7842919,Nhà hàng,,0.0,0.25,0.0,0.0,0.0
Nhà hàng Tầm Vị,osm-node-11218013237,21.0287751,105.8394545,Nhà hàng,"4, Phố Yên Thế",0.0,0.0,0.0,0.0,0.0
Bánh mì chay Vegan,osm-node-11371361970,21.0303507,105.8497103,Nhà hàng,"64, Phố Hàng Trống",0.0,0.0,0.5,0.0,0.0
Quán Little Hà Nội,osm-node-11371431369,21.0302188,105.8489505,Nhà hàng,"24b, Phố Lý Quốc Sư",0.0,0.0,0.0,0.0,0.0
Ngan Huế Thương,osm-node-11372720514,20.9917089,105.9456661,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Bánh cuốn nóng 101 Bà Triệu,osm-node-11468718378,21.012338,105.8505177,Nhà hàng,"155, Phố Triệu Việt Vương, Hai Bà Trưng, Hà Nội",0.0,0.25,0.0,0.0,0.0
Cơm Tấm Tỷ Đô,osm-node-11470110667,21.0126551,105.8505824,Nhà hàng,"147, Phố Triệu Việt Vương, Hai Bà Trưng, Hà Nội",0.0,0.0,0.0,0.0,0.0
Vua Chả Cá,osm-node-11472430137,21.0132741,105.8509418,Nhà hàng,"76A, Phố Mai Hắc Đế, Hai Bà Trưng, Hà Nội",0.0,0.0,0.0,0.0,0.0
An Biên Eatery,osm-node-11505669842,21.0141696,105.8506004,Nhà hàng,"111, Phố Triệu Việt Vương, Hai Bà Trưng, Hà Nội",0.0,0.0,0.0,0.0,0.0
Phở Cồ,osm-node-11563394778,21.0456914,105.7862359,Nhà hàng,"77, Phố Phạm Tuấn Tài, Quận Bắc Từ Liêm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Cơm ngon Bình dân,osm-node-11563394783,21.0454499,105.786234,Nhà hàng,"65, Phố Phạm Tuấn Tài, Quận Bắc Từ Liêm, Hà Nội",0.0,0.0,0.0,1.0,0.0
Nhà hàng Phúc Lâm,osm-node-11568539974,21.0442928,105.784162,Nhà hàng,"9A, Ngõ 6 Đặng Thùy Trâm, Quận Bắc Từ Liêm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Cháo lòng Hợp Lý 4,osm-node-11568902926,21.0433502,105.7861262,Nhà hàng,"9, Phố Phạm Tuấn Tài, Quận Cầu Giấy, Hà Nội",0.0,0.0,0.0,1.0,0.0
